dataset,split,method,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec,train_recall,test_recall
rice,1,Full MIP ,0.96,0.893944697,0.102192639,306,3601,0,0.894,0.891,0.921,0.914,0.960,0.960,0.898,0.886
rice,1,Early MIP (T300),0.96,0.893944697,0.106891151,592,,0,0.894,0.891,0.921,0.914,0.960,0.960,0.898,0.886
rice,1,Early MIP (T600),0.96,0.893944697,0.105716523,894,,0,0.894,0.891,0.921,0.914,0.960,0.960,0.898,0.886
rice,1,Fixed PIP,0.96,0.893944697,0.044244323,206,,0,0.894,0.891,0.917,0.917,0.961,0.960,0.892,0.892
rice,1,Shrinkage PIP,0.96,0.893944697,0.041895067,621,,0,0.894,0.888,0.913,0.913,0.961,0.962,0.884,0.883
rice,2,Full MIP ,0.96,0.896044802,0.099609375,3053,3601,0,0.896,0.879,0.922,0.902,0.960,0.967,0.900,0.859
rice,2,Early MIP (T300),0.96,0.894294715,0.106849315,552,,0,0.894,0.874,0.922,0.897,0.960,0.965,0.901,0.851
rice,2,Early MIP (T600),0.96,0.894294715,0.104892368,856,,0,0.894,0.874,0.922,0.897,0.960,0.965,0.901,0.851
rice,2,Fixed PIP,0.96,0.894294715,0.043835616,218,,0,0.894,0.877,0.922,0.898,0.960,0.963,0.900,0.855
rice,2,Shrinkage PIP,0.96,0.896044802,0.043359375,588,,0,0.896,0.879,0.921,0.902,0.960,0.967,0.900,0.859
rice,3,Full MIP ,0.96,0.89779489,0.097076023,2802,3601,0,0.898,0.895,0.919,0.917,0.961,0.953,0.896,0.899
rice,3,Early MIP (T300),0.96,0.897094855,0.102614124,504,,0,0.897,0.896,0.919,0.916,0.960,0.953,0.897,0.897
rice,3,Early MIP (T600),0.96,0.897094855,0.101443621,831,,0,0.897,0.896,0.919,0.916,0.960,0.953,0.897,0.897
rice,3,Fixed PIP,0.96,0.89779489,0.0417154,243,,0,0.898,0.892,0.922,0.919,0.960,0.955,0.901,0.901
rice,3,Shrinkage PIP,0.96,0.89779489,0.042495127,603,,0,0.898,0.895,0.919,0.916,0.960,0.951,0.896,0.899
rice,4,Full MIP ,0.96,0.896744837,0.097580016,584,3601,0,0.897,0.880,0.920,0.913,0.960,0.958,0.898,0.886
rice,4,Early MIP (T300),0.96,0.89639482,0.10425615,423,,0,0.896,0.879,0.922,0.913,0.960,0.958,0.900,0.886
rice,4,Early MIP (T600),0.96,0.896744837,0.100312256,1121,,0,0.897,0.880,0.920,0.913,0.960,0.958,0.898,0.886
rice,4,Fixed PIP,0.96,0.897444872,0.041341654,246,,0,0.897,0.885,0.923,0.908,0.960,0.954,0.903,0.881
rice,4,Shrinkage PIP,0.96,0.897444872,0.042121685,511,,0,0.897,0.885,0.923,0.908,0.960,0.954,0.903,0.881
rice,1,Full MIP ,0.97,0.88239412,0.115827053,501,3601,0,0.882,0.877,0.905,0.901,0.970,0.965,0.861,0.859
rice,1,Early MIP (T300),0.97,0.88239412,0.117017057,803,,0,0.882,0.877,0.905,0.901,0.970,0.965,0.861,0.859
rice,1,Early MIP (T600),0.97,0.88239412,0.116620389,1089,,0,0.882,0.877,0.905,0.901,0.970,0.965,0.861,0.859
rice,1,Fixed PIP,0.97,0.88239412,0.050376835,448,,0,0.882,0.877,0.905,0.901,0.970,0.965,0.861,0.859
rice,1,Shrinkage PIP,0.97,0.88239412,0.050376835,768,,0,0.882,0.877,0.905,0.901,0.970,0.965,0.861,0.859
rice,2,Full MIP ,0.97,0.859292965,0.146232179,906,3601,0,0.859,0.836,0.894,0.873,0.970,0.969,0.841,0.804
rice,2,Early MIP (T300),0.97,0.85159258,0.158240855,526,,0,0.852,0.833,0.884,0.864,0.970,0.973,0.822,0.783
rice,2,Early MIP (T600),0.97,0.859292965,0.147046843,1652,,0,0.859,0.836,0.894,0.873,0.970,0.969,0.841,0.804
rice,2,Fixed PIP,0.97,0.860343017,0.062652563,286,,0,0.860,0.859,0.894,0.884,0.970,0.980,0.841,0.813
rice,2,Shrinkage PIP,0.97,0.868743437,0.058017728,741,,0,0.869,0.863,0.896,0.884,0.970,0.980,0.844,0.813
rice,3,Full MIP ,0.97,0.884494225,0.118322121,2375,3601,0,0.884,0.884,0.907,0.909,0.970,0.956,0.864,0.881
rice,3,Early MIP (T300),0.97,0.879243962,0.126990446,727,,0,0.879,0.874,0.907,0.905,0.970,0.961,0.864,0.868
rice,3,Early MIP (T600),0.97,0.879243962,0.126592357,1029,,0,0.879,0.874,0.907,0.905,0.970,0.961,0.864,0.868
rice,3,Fixed PIP,0.97,0.88659433,0.04895381,277,,0,0.887,0.889,0.914,0.911,0.970,0.956,0.877,0.884
rice,3,Shrinkage PIP,0.97,0.88659433,0.047769443,682,,0,0.887,0.886,0.916,0.911,0.970,0.956,0.880,0.884
rice,4,Full MIP ,0.97,0.874693735,0.128851541,301,3601,0,0.875,0.863,0.901,0.885,0.970,0.964,0.853,0.829
rice,4,Early MIP (T300),0.97,0.874693735,0.131252501,634,,0,0.875,0.863,0.901,0.885,0.970,0.964,0.853,0.829
rice,4,Early MIP (T600),0.97,0.874693735,0.130852341,804,,0,0.875,0.863,0.901,0.885,0.970,0.964,0.853,0.829
rice,4,Fixed PIP,0.97,0.882044102,0.051190476,377,,0,0.882,0.870,0.906,0.896,0.970,0.970,0.862,0.844
rice,4,Shrinkage PIP,0.97,0.882044102,0.050793651,661,,0,0.882,0.869,0.906,0.895,0.970,0.970,0.862,0.842
rice,1,Full MIP ,0.98,0.846342317,0.165012407,1200,3601,0,0.846,0.823,0.876,0.869,0.980,0.973,0.799,0.793
rice,1,Early MIP (T300),0.98,0.8459923,0.170872983,504,,0,0.846,0.824,0.876,0.868,0.980,0.971,0.799,0.793
rice,1,Early MIP (T600),0.98,0.8459923,0.169631775,807,,0,0.846,0.824,0.876,0.868,0.980,0.971,0.799,0.793
rice,1,Fixed PIP,0.98,0.844242212,0.069651741,306,,0,0.844,0.827,0.876,0.854,0.981,0.979,0.800,0.761
rice,1,Shrinkage PIP,0.98,0.843892195,0.070510162,892,,0,0.844,0.823,0.879,0.869,0.981,0.973,0.804,0.793
rice,2,Full MIP ,0.98,0.838291915,0.175365344,1245,3601,0,0.838,0.831,0.871,0.868,0.980,0.988,0.790,0.778
rice,2,Early MIP (T300),0.98,0.836891845,0.182768716,765,,0,0.837,0.833,0.872,0.866,0.980,0.986,0.791,0.776
rice,2,Early MIP (T600),0.98,0.836891845,0.181514011,1057,,0,0.837,0.833,0.872,0.866,0.980,0.986,0.791,0.776
rice,2,Fixed PIP,0.98,0.83899195,0.075093867,392,,0,0.839,0.830,0.873,0.865,0.980,0.986,0.793,0.774
rice,2,Shrinkage PIP,0.98,0.83899195,0.07217355,759,,0,0.839,0.831,0.875,0.865,0.980,0.986,0.797,0.774
rice,3,Full MIP ,0.98,0.846342317,0.163816634,304,3601,0,0.846,0.843,0.879,0.881,0.981,0.968,0.804,0.820
rice,3,Early MIP (T300),0.98,0.846342317,0.168034524,606,,0,0.846,0.843,0.879,0.881,0.981,0.968,0.804,0.820
rice,3,Early MIP (T600),0.98,0.846342317,0.167411306,924,,0,0.846,0.843,0.879,0.881,0.981,0.968,0.804,0.820
rice,3,Fixed PIP,0.98,0.850892545,0.066639243,334,,0,0.851,0.852,0.886,0.876,0.980,0.965,0.818,0.813
rice,3,Shrinkage PIP,0.98,0.855442772,0.063829787,731,,0,0.855,0.847,0.888,0.879,0.980,0.959,0.820,0.824
rice,4,Full MIP ,0.98,0.851242562,0.155838816,1584,3601,0,0.851,0.831,0.885,0.867,0.980,0.975,0.816,0.787
rice,4,Early MIP (T300),0.98,0.842842142,0.172757475,525,,0,0.843,0.818,0.877,0.857,0.981,0.979,0.802,0.767
rice,4,Early MIP (T600),0.98,0.842842142,0.171511628,835,,0,0.843,0.818,0.877,0.857,0.981,0.979,0.802,0.767
rice,4,Fixed PIP,0.98,0.844242212,0.070066335,385,,0,0.844,0.827,0.877,0.857,0.981,0.979,0.801,0.767
rice,4,Shrinkage PIP,0.98,0.850892545,0.066639243,778,,0,0.851,0.829,0.886,0.864,0.980,0.968,0.817,0.787
