right-distance_1,right-distance_2,right-distance_3,right-distance_4,right-distance_5,right-weight_1,right-weight_2,right-weight_3,right-weight_4,right-weight_5,left-distance_1,left-distance_2,left-distance_3,left-distance_4,left-distance_5,left-weight_1,left-weight_2,left-weight_3,left-weight_4,left-weight_5,target
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
