split,method,tau_0,beta_p,shrinkage_iter,piece,pip_iter,integer_rate,integers,objective_value,optimality_gap,final_improvement_time,time,train,test,test_constraint_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,IDSA-PIP,5,{2: 0.98},0,,0,0.4,695,0.9774436180973963,0.02307691357841171,,38.06674003601074,"{'acc': 0.977, 'acc_margin': 0.977, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 0.923}","{'acc': 0.911, 'acc_margin': 0.889, 'prec1': 0.933, 'prec2': 1.0, 'prec3': 0.8}",{'prec2': 0},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},0,,1,0.4,692,1.0,0.0,,0.9698879718780518,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},0,,2,0.4,692,1.0,0.0,,0.04546499252319336,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},0,,3,0.5,853,1.0,0.0,,0.05459308624267578,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},0,,4,0.6,1009,1.0,0.0,,0.05885910987854004,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},1,,0,0.4,692,1.0,0.0,,0.0489041805267334,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},1,,1,0.5,851,1.0,0.0,,0.0573430061340332,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},1,,2,0.6,1008,1.0,0.0,,0.0591738224029541,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},2,,0,0.4,692,1.0,0.0,,0.0469059944152832,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},2,,1,0.5,851,1.0,0.0,,0.053858041763305664,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},2,,2,0.6,1008,1.0,0.0,,0.05785107612609863,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},3,,0,0.4,692,1.0,0.0,,0.04677104949951172,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},3,,1,0.5,851,1.0,0.0,,0.05370903015136719,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
1,IDSA-PIP,5,{2: 0.98},3,,2,0.6,1008,1.0,0.0,,0.060986995697021484,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.956, 'acc_margin': 0.956, 'prec1': 0.933, 'prec2': 0.944, 'prec3': 1.0}",{'prec2': -0.036},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},0,,0,0.4,692,0.9849624060150375,0.015267175572519198,,35.55212593078613,"{'acc': 0.985, 'acc_margin': 0.985, 'prec1': 0.978, 'prec2': 1.0, 'prec3': 0.973}","{'acc': 0.933, 'acc_margin': 0.889, 'prec1': 0.875, 'prec2': 0.941, 'prec3': 1.0}",{'prec2': -0.039},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},0,,1,0.4,692,0.9924812030075192,0.0,,3.740886926651001,"{'acc': 0.992, 'acc_margin': 0.992, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 0.973}","{'acc': 0.933, 'acc_margin': 0.911, 'prec1': 0.875, 'prec2': 0.941, 'prec3': 1.0}",{'prec2': -0.039},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},0,,2,0.4,690,1.0,0.0,,1.0753741264343262,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},0,,3,0.4,690,1.0,0.0,,0.05245399475097656,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},0,,4,0.5,850,1.0,0.0,,0.06092214584350586,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},0,,5,0.6,1008,1.0,0.0,,0.07017898559570312,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},1,,0,0.4,690,1.0,0.0,,0.05211901664733887,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},1,,1,0.5,854,1.0,0.0,,0.055624961853027344,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},1,,2,0.6,1008,1.0,0.0,,0.06610298156738281,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},2,,0,0.4,690,1.0,0.0,,0.051360130310058594,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},2,,1,0.5,854,1.0,0.0,,0.05572104454040527,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},2,,2,0.6,1008,1.0,0.0,,0.06607794761657715,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},3,,0,0.4,690,1.0,0.0,,0.05159711837768555,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},3,,1,0.5,854,1.0,0.0,,0.05530500411987305,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
2,IDSA-PIP,5,{2: 0.98},3,,2,0.6,1008,1.0,0.0,,0.06706500053405762,"{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc': 0.933, 'acc_margin': 0.933, 'prec1': 1.0, 'prec2': 0.857, 'prec3': 1.0}",{'prec2': -0.123},0,0,0,0.0,0.0,0.0,0
3,IDSA-PIP,10,{2: 0.98},0,,0,0.4,699,0.9774436090225562,0.023076923076923248,,12.161633968353271,"{'acc': 0.977, 'acc_margin': 0.977, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 0.923}","{'acc': 0.933, 'acc_margin': 0.889, 'prec1': 1.0, 'prec2': 0.947, 'prec3': 0.846}",{'prec2': -0.033},0,0,0,0.0,0.0,0.0,0
