dataset,depth,run,type,tau_0,varrho,key_beta_p,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,unconstrained,5,0,[1],,0.5090579710144927,0.6852107131584747,194.60058879852295,194.60058879852295,,,{'acc_margin': 0.509},"{'acc_margin': {'nm': 562.0, 'dm': 1104}}","{'acc': 0.509, 'acc_margin': 0.509, 'prec1': 0.531, 'prec2': 0.445, 'prec3': 1.0}",,"{'acc': {'nm': 562, 'dm': 1104}, 'acc_margin': {'nm': 562, 'dm': 1104}, 'prec1': {'nm': 413, 'dm': 778}, 'prec2': {'nm': 142, 'dm': 319}, 'prec3': {'nm': 7, 'dm': 7}}","{'acc': 0.447, 'acc_margin': 0.447, 'prec1': 0.49, 'prec2': 0.346, 'prec3': 0.333}",,"{'acc': {'nm': 165, 'dm': 369}, 'acc_margin': {'nm': 165, 'dm': 369}, 'prec1': {'nm': 127, 'dm': 259}, 'prec2': {'nm': 37, 'dm': 107}, 'prec3': {'nm': 1, 'dm': 3}}","{'acc': -0.062, 'acc_margin': -0.062}",,,0,,,0.0,0,0.509,0.447,0.531,0.49
ctmc,2,2,unconstrained,4,0,[1],,0.5697463768115941,0.7551669316375201,334.7803444862366,334.7803444862366,,,{'acc_margin': 0.57},"{'acc_margin': {'nm': 629.0, 'dm': 1104}}","{'acc': 0.57, 'acc_margin': 0.57, 'prec1': 0.679, 'prec2': -1, 'prec3': 0.495}",,"{'acc': {'nm': 629, 'dm': 1104}, 'acc_margin': {'nm': 629, 'dm': 1104}, 'prec1': {'nm': 304, 'dm': 448}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 325, 'dm': 656}}","{'acc': 0.488, 'acc_margin': 0.488, 'prec1': 0.59, 'prec2': -1, 'prec3': 0.426}",,"{'acc': {'nm': 180, 'dm': 369}, 'acc_margin': {'nm': 180, 'dm': 369}, 'prec1': {'nm': 82, 'dm': 139}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 98, 'dm': 230}}","{'acc': -0.082, 'acc_margin': -0.082}",,,0,,,0.0,0,0.57,0.488,0.679,0.59
ctmc,2,3,unconstrained,6,0,[1],,0.5480072463768115,0.8247933884297522,547.6118721961975,547.6118721961975,,,{'acc_margin': 0.548},"{'acc_margin': {'nm': 605.0, 'dm': 1104}}","{'acc': 0.548, 'acc_margin': 0.548, 'prec1': 0.614, 'prec2': -1, 'prec3': 0.47}",,"{'acc': {'nm': 605, 'dm': 1104}, 'acc_margin': {'nm': 605, 'dm': 1104}, 'prec1': {'nm': 367, 'dm': 598}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 238, 'dm': 506}}","{'acc': 0.493, 'acc_margin': 0.493, 'prec1': 0.555, 'prec2': -1, 'prec3': 0.404}",,"{'acc': {'nm': 182, 'dm': 369}, 'acc_margin': {'nm': 182, 'dm': 369}, 'prec1': {'nm': 121, 'dm': 218}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 61, 'dm': 151}}","{'acc': -0.055, 'acc_margin': -0.055}",,,0,,,0.0,0,0.548,0.493,0.614,0.555
ctmc,2,4,unconstrained,5,0,[1],,0.5135869565217391,0.9470899470899471,406.29903769493103,406.29903769493103,,,{'acc_margin': 0.514},"{'acc_margin': {'nm': 567.0, 'dm': 1104}}","{'acc': 0.514, 'acc_margin': 0.514, 'prec1': 0.541, 'prec2': 0.445, 'prec3': 0.812}",,"{'acc': {'nm': 568, 'dm': 1104}, 'acc_margin': {'nm': 567, 'dm': 1104}, 'prec1': {'nm': 400, 'dm': 740}, 'prec2': {'nm': 155, 'dm': 348}, 'prec3': {'nm': 13, 'dm': 16}}","{'acc': 0.472, 'acc_margin': 0.461, 'prec1': 0.5, 'prec2': 0.396, 'prec3': 0.667}",,"{'acc': {'nm': 174, 'dm': 369}, 'acc_margin': {'nm': 170, 'dm': 369}, 'prec1': {'nm': 130, 'dm': 260}, 'prec2': {'nm': 42, 'dm': 106}, 'prec3': {'nm': 2, 'dm': 3}}","{'acc': -0.042, 'acc_margin': -0.053}",,,0,,,0.0,0,0.514,0.472,0.541,0.5
ctmc,3,1,unconstrained,3,0,[1],,0.6050724637681159,0.6526946107784434,468.8451302051544,468.8451302051544,,,{'acc_margin': 0.605},"{'acc_margin': {'nm': 668.0, 'dm': 1104}}","{'acc': 0.605, 'acc_margin': 0.605, 'prec1': 0.663, 'prec2': 0.551, 'prec3': 0.558}",,"{'acc': {'nm': 668, 'dm': 1104}, 'acc_margin': {'nm': 668, 'dm': 1104}, 'prec1': {'nm': 338, 'dm': 510}, 'prec2': {'nm': 108, 'dm': 196}, 'prec3': {'nm': 222, 'dm': 398}}","{'acc': 0.531, 'acc_margin': 0.528, 'prec1': 0.593, 'prec2': 0.448, 'prec3': 0.492}",,"{'acc': {'nm': 196, 'dm': 369}, 'acc_margin': {'nm': 195, 'dm': 369}, 'prec1': {'nm': 102, 'dm': 172}, 'prec2': {'nm': 30, 'dm': 67}, 'prec3': {'nm': 64, 'dm': 130}}","{'acc': -0.074, 'acc_margin': -0.077}",,,0,,,0.0,0,0.605,0.531,0.663,0.593
ctmc,3,2,unconstrained,7,0,[1],,0.6086956521739131,0.6428571428571428,531.6479506492615,531.6479506492615,,,{'acc_margin': 0.609},"{'acc_margin': {'nm': 672.0, 'dm': 1104}}","{'acc': 0.61, 'acc_margin': 0.609, 'prec1': 0.635, 'prec2': 0.663, 'prec3': 0.56}",,"{'acc': {'nm': 673, 'dm': 1104}, 'acc_margin': {'nm': 672, 'dm': 1104}, 'prec1': {'nm': 375, 'dm': 591}, 'prec2': {'nm': 69, 'dm': 104}, 'prec3': {'nm': 229, 'dm': 409}}","{'acc': 0.499, 'acc_margin': 0.491, 'prec1': 0.538, 'prec2': 0.5, 'prec3': 0.444}",,"{'acc': {'nm': 184, 'dm': 369}, 'acc_margin': {'nm': 181, 'dm': 369}, 'prec1': {'nm': 105, 'dm': 195}, 'prec2': {'nm': 15, 'dm': 30}, 'prec3': {'nm': 64, 'dm': 144}}","{'acc': -0.111, 'acc_margin': -0.118}",,,0,,,0.0,0,0.61,0.499,0.635,0.538
ctmc,3,3,unconstrained,3,0,[1],,0.5833333333333333,0.7142857142857145,315.872421503067,315.872421503067,,,{'acc_margin': 0.583},"{'acc_margin': {'nm': 644.0, 'dm': 1104}}","{'acc': 0.583, 'acc_margin': 0.583, 'prec1': 0.681, 'prec2': 0.496, 'prec3': 0.535}",,"{'acc': {'nm': 644, 'dm': 1104}, 'acc_margin': {'nm': 644, 'dm': 1104}, 'prec1': {'nm': 292, 'dm': 429}, 'prec2': {'nm': 113, 'dm': 228}, 'prec3': {'nm': 239, 'dm': 447}}","{'acc': 0.531, 'acc_margin': 0.531, 'prec1': 0.609, 'prec2': 0.533, 'prec3': 0.448}",,"{'acc': {'nm': 196, 'dm': 369}, 'acc_margin': {'nm': 196, 'dm': 369}, 'prec1': {'nm': 92, 'dm': 151}, 'prec2': {'nm': 40, 'dm': 75}, 'prec3': {'nm': 64, 'dm': 143}}","{'acc': -0.052, 'acc_margin': -0.052}",,,0,,,0.0,0,0.583,0.531,0.681,0.609
ctmc,3,4,unconstrained,6,0,[1],,0.5951086956521738,0.6803652968036532,554.9178011417389,554.9178011417389,,,{'acc_margin': 0.595},"{'acc_margin': {'nm': 657.0, 'dm': 1104}}","{'acc': 0.595, 'acc_margin': 0.595, 'prec1': 0.769, 'prec2': 0.52, 'prec3': 0.512}",,"{'acc': {'nm': 657, 'dm': 1104}, 'acc_margin': {'nm': 657, 'dm': 1104}, 'prec1': {'nm': 269, 'dm': 350}, 'prec2': {'nm': 132, 'dm': 254}, 'prec3': {'nm': 256, 'dm': 500}}","{'acc': 0.561, 'acc_margin': 0.561, 'prec1': 0.752, 'prec2': 0.471, 'prec3': 0.492}",,"{'acc': {'nm': 207, 'dm': 369}, 'acc_margin': {'nm': 207, 'dm': 369}, 'prec1': {'nm': 79, 'dm': 105}, 'prec2': {'nm': 41, 'dm': 87}, 'prec3': {'nm': 87, 'dm': 177}}","{'acc': -0.034, 'acc_margin': -0.034}",,,0,,,0.0,0,0.595,0.561,0.769,0.752
ctmc,4,1,unconstrained,9,0,[1],,0.6295289855072463,0.5884892086330936,565.995352268219,565.995352268219,,,{'acc_margin': 0.63},"{'acc_margin': {'nm': 695.0, 'dm': 1104}}","{'acc': 0.63, 'acc_margin': 0.63, 'prec1': 0.724, 'prec2': 0.626, 'prec3': 0.546}",,"{'acc': {'nm': 695, 'dm': 1104}, 'acc_margin': {'nm': 695, 'dm': 1104}, 'prec1': {'nm': 318, 'dm': 439}, 'prec2': {'nm': 109, 'dm': 174}, 'prec3': {'nm': 268, 'dm': 491}}","{'acc': 0.55, 'acc_margin': 0.537, 'prec1': 0.647, 'prec2': 0.458, 'prec3': 0.494}",,"{'acc': {'nm': 203, 'dm': 369}, 'acc_margin': {'nm': 198, 'dm': 369}, 'prec1': {'nm': 97, 'dm': 150}, 'prec2': {'nm': 27, 'dm': 59}, 'prec3': {'nm': 79, 'dm': 160}}","{'acc': -0.08, 'acc_margin': -0.093}",,,0,,,0.0,0,0.63,0.55,0.724,0.647
ctmc,4,2,unconstrained,7,0,[1],,0.618659420289855,0.6163982430453883,526.9975409507751,526.9975409507751,,,{'acc_margin': 0.619},"{'acc_margin': {'nm': 683.0, 'dm': 1104}}","{'acc': 0.619, 'acc_margin': 0.619, 'prec1': 0.714, 'prec2': 0.56, 'prec3': 0.546}",,"{'acc': {'nm': 683, 'dm': 1104}, 'acc_margin': {'nm': 683, 'dm': 1104}, 'prec1': {'nm': 329, 'dm': 461}, 'prec2': {'nm': 117, 'dm': 209}, 'prec3': {'nm': 237, 'dm': 434}}","{'acc': 0.509, 'acc_margin': 0.501, 'prec1': 0.639, 'prec2': 0.4, 'prec3': 0.439}",,"{'acc': {'nm': 188, 'dm': 369}, 'acc_margin': {'nm': 185, 'dm': 369}, 'prec1': {'nm': 92, 'dm': 144}, 'prec2': {'nm': 28, 'dm': 70}, 'prec3': {'nm': 68, 'dm': 155}}","{'acc': -0.11, 'acc_margin': -0.118}",,,0,,,0.0,0,0.619,0.509,0.714,0.639
ctmc,4,3,unconstrained,9,0,[1],,0.6431159420289855,0.5549295774647888,690.6536519527435,690.6536519527435,,,{'acc_margin': 0.643},"{'acc_margin': {'nm': 710.0, 'dm': 1104}}","{'acc': 0.644, 'acc_margin': 0.643, 'prec1': 0.708, 'prec2': 0.623, 'prec3': 0.582}",,"{'acc': {'nm': 711, 'dm': 1104}, 'acc_margin': {'nm': 710, 'dm': 1104}, 'prec1': {'nm': 345, 'dm': 487}, 'prec2': {'nm': 104, 'dm': 167}, 'prec3': {'nm': 262, 'dm': 450}}","{'acc': 0.561, 'acc_margin': 0.542, 'prec1': 0.612, 'prec2': 0.558, 'prec3': 0.507}",,"{'acc': {'nm': 207, 'dm': 369}, 'acc_margin': {'nm': 200, 'dm': 369}, 'prec1': {'nm': 101, 'dm': 165}, 'prec2': {'nm': 29, 'dm': 52}, 'prec3': {'nm': 77, 'dm': 152}}","{'acc': -0.083, 'acc_margin': -0.101}",,,0,,,0.0,0,0.644,0.561,0.708,0.612
ctmc,4,4,unconstrained,3,0,[1],,0.6041666666666666,0.6551724137931035,385.2734410762787,385.2734410762787,,,{'acc_margin': 0.604},"{'acc_margin': {'nm': 667.0, 'dm': 1104}}","{'acc': 0.604, 'acc_margin': 0.604, 'prec1': 0.678, 'prec2': 0.596, 'prec3': 0.524}",,"{'acc': {'nm': 667, 'dm': 1104}, 'acc_margin': {'nm': 667, 'dm': 1104}, 'prec1': {'nm': 341, 'dm': 503}, 'prec2': {'nm': 90, 'dm': 151}, 'prec3': {'nm': 236, 'dm': 450}}","{'acc': 0.539, 'acc_margin': 0.531, 'prec1': 0.613, 'prec2': 0.477, 'prec3': 0.478}",,"{'acc': {'nm': 199, 'dm': 369}, 'acc_margin': {'nm': 196, 'dm': 369}, 'prec1': {'nm': 103, 'dm': 168}, 'prec2': {'nm': 21, 'dm': 44}, 'prec3': {'nm': 75, 'dm': 157}}","{'acc': -0.065, 'acc_margin': -0.073}",,,0,,,0.0,0,0.604,0.539,0.678,0.613
