Precision_threshold,Fold,method,obj,time,train_acc_margined,test_acc_margined,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{2: 0.8},1,Full MIP,0.888,2604,0.888,0.879,0.948,0.957,"{0: 0.98, 1: 1.0, 2: 0.863, 3: 0.97, 4: 0.835, 5: 0.996, 6: 0.996}","{0: 1.0, 1: 1.0, 2: 0.848, 3: 0.941, 4: 0.917, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.915, 3: 0.911, 4: 0.822, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.94, 3: 0.976, 4: 0.795, 5: 1.0, 6: 1.0}"
{2: 0.8},1,PIP,0.913,1297,0.913,0.903,0.935,0.941,"{0: 0.996, 1: 1.0, 2: 0.853, 3: 0.888, 4: 0.804, 5: 1.0, 6: 0.996}","{0: 1.0, 1: 1.0, 2: 0.835, 3: 0.879, 4: 0.881, 5: 1.0, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.87, 3: 0.956, 4: 0.733, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.976, 4: 0.711, 5: 1.0, 6: 1.0}"
{2: 0.8},1,ISA-PIP,0.909,610,0.909,0.891,0.935,0.939,"{0: 0.988, 1: 1.0, 2: 0.846, 3: 0.891, 4: 0.815, 5: 1.0, 6: 0.996}","{0: 1.0, 1: 1.0, 2: 0.826, 3: 0.879, 4: 0.879, 5: 1.0, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.891, 3: 0.956, 4: 0.713, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.976, 4: 0.699, 5: 1.0, 6: 1.0}"
{2: 0.8},1,IDSA-PIP,0.91,796,0.91,0.896,0.936,0.941,"{0: 0.98, 1: 1.0, 2: 0.856, 3: 0.891, 4: 0.821, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 0.988, 2: 0.843, 3: 0.879, 4: 0.882, 5: 1.0, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.891, 3: 0.956, 4: 0.725, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.976, 4: 0.723, 5: 1.0, 6: 1.0}"
{2: 0.8},2,Full MIP,0.9,3600,0.9,0.886,0.93,0.939,"{0: 0.98, 1: 1.0, 2: 0.833, 3: 0.969, 4: 0.784, 5: 0.98, 6: 0.969}","{0: 1.0, 1: 1.0, 2: 0.874, 3: 0.934, 4: 0.812, 5: 0.976, 6: 0.988}","{0: 0.984, 1: 1.0, 2: 0.87, 3: 0.879, 4: 0.777, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.866, 4: 0.831, 5: 1.0, 6: 0.976}"
{2: 0.8},2,PIP,0.911,965,0.911,0.886,0.938,0.941,"{0: 0.98, 1: 1.0, 2: 0.813, 3: 0.962, 4: 0.817, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.852, 3: 0.937, 4: 0.841, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.899, 3: 0.927, 4: 0.757, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.902, 4: 0.831, 5: 1.0, 6: 0.964}"
{2: 0.8},2,ISA-PIP,0.916,666,0.916,0.889,0.938,0.931,"{0: 0.984, 1: 1.0, 2: 0.807, 3: 0.974, 4: 0.812, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.815, 3: 0.935, 4: 0.802, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.899, 3: 0.915, 4: 0.769, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.878, 4: 0.783, 5: 1.0, 6: 0.964}"
{2: 0.8},2,IDSA-PIP,0.917,1288,0.917,0.894,0.936,0.934,"{0: 0.988, 1: 1.0, 2: 0.807, 3: 0.991, 4: 0.792, 5: 1.0, 6: 0.992}","{0: 1.0, 1: 1.0, 2: 0.813, 3: 0.986, 4: 0.788, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.899, 3: 0.899, 4: 0.769, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.892, 3: 0.878, 4: 0.807, 5: 1.0, 6: 0.976}"
{2: 0.8},3,Full MIP,0.915,3555,0.915,0.875,0.937,0.92,"{0: 0.946, 1: 1.0, 2: 0.813, 3: 0.959, 4: 0.84, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 0.988, 2: 0.75, 3: 0.949, 4: 0.775, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.911, 3: 0.939, 4: 0.722, 5: 1.0, 6: 0.996}","{0: 1.0, 1: 1.0, 2: 0.878, 3: 0.892, 4: 0.671, 5: 1.0, 6: 1.0}"
{2: 0.8},3,PIP,0.92,982,0.92,0.877,0.941,0.915,"{0: 0.996, 1: 1.0, 2: 0.801, 3: 0.951, 4: 0.845, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.745, 3: 0.915, 4: 0.75, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.911, 3: 0.943, 4: 0.746, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.854, 3: 0.904, 4: 0.659, 5: 1.0, 6: 1.0}"
{2: 0.8},3,ISA-PIP,0.922,575,0.922,0.872,0.942,0.915,"{0: 0.965, 1: 1.0, 2: 0.836, 3: 0.951, 4: 0.844, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.756, 3: 0.915, 4: 0.737, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.947, 4: 0.762, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.829, 3: 0.904, 4: 0.683, 5: 1.0, 6: 1.0}"
{2: 0.8},3,IDSA-PIP,0.92,1053,0.92,0.879,0.945,0.922,"{0: 0.953, 1: 1.0, 2: 0.868, 3: 0.959, 4: 0.835, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.791, 3: 0.926, 4: 0.75, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.935, 4: 0.794, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.829, 3: 0.904, 4: 0.732, 5: 1.0, 6: 1.0}"
{2: 0.8},4,Full MIP,0.908,2717,0.908,0.858,0.931,0.906,"{0: 0.95, 1: 1.0, 2: 0.805, 3: 1.0, 4: 0.812, 5: 0.969, 6: 1.0}","{0: 0.921, 1: 1.0, 2: 0.76, 3: 0.985, 4: 0.775, 5: 0.933, 6: 0.988}","{0: 0.996, 1: 1.0, 2: 0.915, 3: 0.858, 4: 0.75, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.89, 3: 0.795, 4: 0.671, 5: 1.0, 6: 0.988}"
{2: 0.8},4,PIP,0.923,858,0.923,0.877,0.938,0.913,"{0: 0.969, 1: 1.0, 2: 0.811, 3: 1.0, 4: 0.841, 5: 0.961, 6: 1.0}","{0: 0.931, 1: 1.0, 2: 0.791, 3: 0.986, 4: 0.776, 5: 0.943, 6: 0.976}","{0: 1.0, 1: 1.0, 2: 0.931, 3: 0.866, 4: 0.766, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.878, 3: 0.819, 4: 0.72, 5: 1.0, 6: 0.988}"
{2: 0.8},4,ISA-PIP,0.931,676,0.931,0.884,0.941,0.927,"{0: 0.996, 1: 1.0, 2: 0.856, 3: 1.0, 4: 0.792, 5: 0.969, 6: 0.996}","{0: 0.976, 1: 1.0, 2: 0.854, 3: 1.0, 4: 0.764, 5: 0.933, 6: 0.988}","{0: 0.988, 1: 1.0, 2: 0.887, 3: 0.866, 4: 0.847, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.854, 3: 0.831, 4: 0.829, 5: 1.0, 6: 0.988}"
{2: 0.8},4,IDSA-PIP,0.928,1162,0.928,0.894,0.936,0.917,"{0: 0.984, 1: 1.0, 2: 0.835, 3: 1.0, 4: 0.795, 5: 0.972, 6: 0.98}","{0: 0.953, 1: 1.0, 2: 0.845, 3: 1.0, 4: 0.733, 5: 0.943, 6: 0.964}","{0: 0.988, 1: 1.0, 2: 0.915, 3: 0.866, 4: 0.782, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.807, 4: 0.768, 5: 1.0, 6: 0.988}"
{2: 0.85},1,Full MIP,-69499.1,3205,0.9,0.891,0.933,0.936,"{0: 0.992, 1: 1.0, 2: 0.824, 3: 0.901, 4: 0.813, 5: 0.996, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.809, 3: 0.889, 4: 0.875, 5: 1.0, 6: 0.988}","{0: 0.984, 1: 1.0, 2: 0.891, 3: 0.952, 4: 0.704, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.976, 4: 0.675, 5: 1.0, 6: 1.0}"
{2: 0.85},1,PIP,0.909,887,0.909,0.891,0.939,0.943,"{0: 0.984, 1: 1.0, 2: 0.866, 3: 0.894, 4: 0.824, 5: 1.0, 6: 0.996}","{0: 1.0, 1: 1.0, 2: 0.837, 3: 0.879, 4: 0.894, 5: 1.0, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.891, 3: 0.956, 4: 0.741, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.928, 3: 0.976, 4: 0.711, 5: 1.0, 6: 1.0}"
{2: 0.85},1,ISA-PIP,0.908,642,0.908,0.901,0.939,0.945,"{0: 0.984, 1: 1.0, 2: 0.863, 3: 0.898, 4: 0.828, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.856, 3: 0.879, 4: 0.896, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.891, 3: 0.956, 4: 0.741, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.928, 3: 0.976, 4: 0.723, 5: 1.0, 6: 1.0}"
{2: 0.85},1,IDSA-PIP,0.914,1228,0.914,0.903,0.935,0.939,"{0: 0.988, 1: 1.0, 2: 0.857, 3: 0.894, 4: 0.803, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 0.988, 2: 0.843, 3: 0.879, 4: 0.881, 5: 1.0, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.87, 3: 0.948, 4: 0.741, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.976, 4: 0.711, 5: 1.0, 6: 1.0}"
{2: 0.85},2,Full MIP,-166999.087,3119,0.913,0.894,0.931,0.933,"{0: 0.98, 1: 1.0, 2: 0.791, 3: 0.991, 4: 0.806, 5: 0.973, 6: 0.988}","{0: 1.0, 1: 1.0, 2: 0.826, 3: 0.959, 4: 0.786, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.883, 4: 0.741, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.854, 4: 0.795, 5: 1.0, 6: 0.976}"
{2: 0.85},2,PIP,0.906,2076,0.906,0.881,0.94,0.943,"{0: 0.961, 1: 1.0, 2: 0.855, 3: 0.97, 4: 0.802, 5: 1.0, 6: 0.992}","{0: 0.965, 1: 1.0, 2: 0.904, 3: 0.949, 4: 0.826, 5: 0.976, 6: 0.988}","{0: 0.988, 1: 1.0, 2: 0.887, 3: 0.923, 4: 0.785, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.904, 3: 0.902, 4: 0.855, 5: 0.988, 6: 0.964}"
{2: 0.85},2,ISA-PIP,0.913,879,0.913,0.889,0.939,0.941,"{0: 0.957, 1: 1.0, 2: 0.855, 3: 0.962, 4: 0.798, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.874, 3: 0.947, 4: 0.816, 5: 0.976, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.883, 3: 0.923, 4: 0.781, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.878, 4: 0.855, 5: 0.988, 6: 0.964}"
{2: 0.85},2,IDSA-PIP,0.92,1715,0.92,0.9,0.934,0.934,"{0: 0.961, 1: 1.0, 2: 0.851, 3: 0.957, 4: 0.775, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.874, 3: 0.911, 4: 0.807, 5: 0.964, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.879, 3: 0.895, 4: 0.781, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.878, 4: 0.807, 5: 0.988, 6: 0.964}"
{2: 0.85},3,Full MIP,-160999.092,2732,0.908,0.863,0.935,0.92,"{0: 0.939, 1: 1.0, 2: 0.794, 3: 0.975, 4: 0.861, 5: 1.0, 6: 0.988}","{0: 0.965, 1: 1.0, 2: 0.735, 3: 0.961, 4: 0.8, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.915, 3: 0.931, 4: 0.702, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.915, 3: 0.892, 4: 0.634, 5: 1.0, 6: 1.0}"
{2: 0.85},3,PIP,0.917,1346,0.917,0.872,0.947,0.92,"{0: 0.972, 1: 1.0, 2: 0.862, 3: 0.955, 4: 0.845, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.78, 3: 0.938, 4: 0.757, 5: 1.0, 6: 0.965}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.943, 4: 0.81, 5: 0.992, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.904, 4: 0.683, 5: 1.0, 6: 1.0}"
{2: 0.85},3,ISA-PIP,0.919,560,0.919,0.856,0.947,0.924,"{0: 0.976, 1: 1.0, 2: 0.856, 3: 0.951, 4: 0.845, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.789, 3: 0.938, 4: 0.753, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.907, 3: 0.943, 4: 0.794, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.904, 4: 0.707, 5: 1.0, 6: 1.0}"
{2: 0.85},3,IDSA-PIP,0.926,1339,0.926,0.879,0.939,0.915,"{0: 0.953, 1: 1.0, 2: 0.881, 3: 0.903, 4: 0.831, 5: 1.0, 6: 1.0}","{0: 0.976, 1: 1.0, 2: 0.812, 3: 0.882, 4: 0.724, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.899, 3: 0.939, 4: 0.754, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.841, 3: 0.904, 4: 0.671, 5: 1.0, 6: 1.0}"
{2: 0.85},4,Full MIP,0.887,3600,0.887,0.837,0.931,0.91,"{0: 0.935, 1: 1.0, 2: 0.856, 3: 0.981, 4: 0.798, 5: 0.969, 6: 0.984}","{0: 0.891, 1: 1.0, 2: 0.816, 3: 0.971, 4: 0.766, 5: 0.943, 6: 0.988}","{0: 0.992, 1: 1.0, 2: 0.907, 3: 0.854, 4: 0.766, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.866, 3: 0.795, 4: 0.72, 5: 1.0, 6: 0.988}"
{2: 0.85},4,PIP,0.93,1766,0.93,0.879,0.942,0.922,"{0: 0.984, 1: 1.0, 2: 0.857, 3: 1.0, 4: 0.8, 5: 0.969, 6: 1.0}","{0: 0.964, 1: 1.0, 2: 0.855, 3: 1.0, 4: 0.733, 5: 0.933, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.915, 3: 0.866, 4: 0.823, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.807, 4: 0.805, 5: 1.0, 6: 0.988}"
{2: 0.85},4,ISA-PIP,0.932,663,0.932,0.894,0.941,0.925,"{0: 0.996, 1: 1.0, 2: 0.853, 3: 1.0, 4: 0.787, 5: 0.972, 6: 1.0}","{0: 0.964, 1: 1.0, 2: 0.854, 3: 1.0, 4: 0.747, 5: 0.943, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.887, 3: 0.866, 4: 0.847, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.854, 3: 0.819, 4: 0.829, 5: 1.0, 6: 0.988}"
{2: 0.85},4,IDSA-PIP,0.932,1852,0.932,0.894,0.941,0.924,"{0: 0.984, 1: 1.0, 2: 0.87, 3: 1.0, 4: 0.779, 5: 0.984, 6: 0.996}","{0: 0.953, 1: 1.0, 2: 0.886, 3: 1.0, 4: 0.726, 5: 0.943, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.891, 3: 0.862, 4: 0.851, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.854, 3: 0.795, 4: 0.841, 5: 1.0, 6: 0.988}"
