class,length,weight,w_l_ratio
0,10.66,3.45,0.32
0,6.91,3.27,0.47
0,8.38,3.46,0.41
0,7.57,3.36,0.44
0,10.83,3.38,0.31
0,9.35,3.28,0.35
0,9.42,3.33,0.35
0,7.92,3.13,0.39
0,6.98,3.16,0.45
0,8.42,3.26,0.39
0,8.03,3.4,0.42
0,10.27,3.16,0.31
0,8.43,3.33,0.39
0,7.0,3.2,0.46
0,7.46,3.25,0.44
0,9.41,3.21,0.34
0,6.64,3.2,0.48
0,8.17,3.3,0.4
0,8.85,3.07,0.35
0,7.83,3.16,0.4
0,10.19,3.24,0.32
0,9.21,3.36,0.36
0,6.67,3.31,0.5
0,8.25,3.32,0.4
0,7.21,3.4,0.47
0,9.52,3.23,0.34
0,7.13,3.2,0.45
0,8.97,3.25,0.36
0,6.74,3.11,0.46
0,7.54,3.21,0.43
0,10.81,3.26,0.3
0,10.56,3.41,0.32
0,7.48,3.11,0.42
0,8.74,3.37,0.39
0,8.78,3.24,0.37
0,7.16,3.48,0.49
0,9.47,3.45,0.36
0,7.1,3.26,0.46
0,7.23,3.31,0.46
0,7.88,3.3,0.42
0,8.31,3.35,0.4
0,7.28,3.2,0.44
0,7.52,3.15,0.42
0,6.88,3.29,0.48
0,8.51,3.48,0.41
0,9.21,3.12,0.34
0,8.25,3.17,0.38
0,10.13,3.34,0.33
0,9.84,3.42,0.35
0,8.67,3.31,0.38
0,8.17,3.3,0.4
0,7.45,3.09,0.41
0,9.45,3.32,0.35
0,7.28,3.3,0.45
0,9.92,3.33,0.34
0,9.26,3.25,0.35
0,6.94,3.29,0.47
0,8.03,3.29,0.41
0,9.81,3.39,0.35
0,7.61,3.29,0.43
0,7.87,3.24,0.41
0,6.7,3.24,0.48
0,7.81,3.37,0.43
0,9.74,3.26,0.34
0,8.14,3.17,0.39
0,7.89,3.25,0.41
0,7.34,3.25,0.44
0,6.86,3.34,0.49
0,7.16,3.2,0.45
0,9.43,3.27,0.35
0,10.58,3.37,0.32
0,7.69,3.31,0.43
0,6.39,3.06,0.48
0,8.53,3.39,0.4
0,7.94,3.18,0.4
0,9.73,3.32,0.34
0,9.83,3.35,0.34
0,9.3,3.17,0.34
0,7.68,3.41,0.44
0,6.85,3.26,0.48
0,8.39,3.26,0.39
0,8.77,3.34,0.38
0,8.74,3.32,0.38
0,6.87,3.23,0.47
0,8.31,3.35,0.4
0,9.34,3.18,0.34
0,7.23,3.31,0.46
0,7.33,3.45,0.47
0,6.7,3.22,0.48
0,7.77,3.06,0.39
0,6.79,3.18,0.47
0,7.22,3.28,0.45
0,8.54,3.08,0.36
0,7.41,3.11,0.42
0,6.63,3.18,0.48
0,7.2,3.47,0.48
0,7.31,3.26,0.45
0,8.94,3.29,0.37
0,7.06,3.29,0.47
0,9.4,3.44,0.37
0,7.35,3.29,0.45
0,8.58,3.24,0.38
0,7.17,3.34,0.47
0,9.41,3.31,0.35
0,8.41,3.12,0.37
0,7.01,3.25,0.46
0,6.54,3.35,0.51
0,7.08,3.25,0.46
0,8.26,3.18,0.39
0,8.1,3.12,0.39
0,7.02,3.25,0.46
0,8.15,3.27,0.4
0,7.77,3.46,0.44
0,9.58,3.29,0.34
0,8.72,3.22,0.37
0,8.58,3.44,0.4
0,8.04,3.29,0.41
0,7.53,3.06,0.41
0,7.75,3.32,0.43
0,8.41,3.24,0.38
0,7.64,3.19,0.42
0,10.19,3.42,0.34
0,7.18,3.41,0.48
0,10.58,3.38,0.32
0,8.22,3.31,0.4
0,8.34,3.4,0.41
0,9.99,3.42,0.34
0,8.57,3.25,0.38
0,8.74,3.22,0.37
0,7.3,3.38,0.46
0,8.49,3.23,0.38
0,8.62,3.24,0.38
0,6.79,3.4,0.5
0,9.59,3.35,0.35
0,6.57,3.29,0.5
0,7.9,3.33,0.42
0,7.67,3.34,0.44
0,9.62,3.23,0.34
0,7.57,3.09,0.41
0,8.21,3.31,0.4
0,7.06,3.02,0.43
0,9.57,3.33,0.35
0,8.45,3.26,0.39
0,6.98,3.34,0.48
0,6.53,3.34,0.51
0,6.68,3.23,0.48
0,7.84,3.16,0.4
0,7.34,3.16,0.43
0,8.73,3.36,0.39
0,8.08,3.29,0.41
0,8.27,3.33,0.4
0,7.92,3.26,0.41
0,7.03,3.23,0.46
0,6.7,3.14,0.47
0,7.19,3.14,0.44
0,10.76,3.2,0.3
0,9.97,3.58,0.36
0,6.5,3.17,0.49
0,8.34,3.19,0.38
0,7.44,3.26,0.44
0,8.98,3.28,0.37
0,7.21,3.12,0.43
0,6.9,3.22,0.47
0,7.82,3.16,0.4
0,7.64,3.22,0.42
0,9.44,3.39,0.36
0,7.07,3.11,0.44
0,9.59,3.31,0.35
0,8.63,3.26,0.38
0,8.16,3.36,0.41
0,7.61,3.35,0.44
0,6.84,3.34,0.49
0,10.71,3.42,0.32
0,6.9,3.14,0.45
0,7.53,3.13,0.42
0,8.86,3.35,0.38
0,8.77,3.36,0.38
0,6.5,3.18,0.49
0,9.12,3.35,0.37
0,8.36,3.36,0.4
0,7.57,3.35,0.44
0,7.55,3.16,0.42
0,10.59,3.25,0.31
0,8.77,3.11,0.35
0,7.2,3.33,0.46
0,8.94,3.39,0.38
0,8.0,3.23,0.4
0,7.68,3.15,0.41
0,9.27,3.28,0.35
0,9.03,3.37,0.37
0,6.36,3.25,0.51
0,7.85,3.37,0.43
0,7.05,3.21,0.45
0,9.18,3.43,0.37
0,8.64,3.38,0.39
0,8.64,3.12,0.36
0,7.04,3.37,0.48
0,7.29,3.43,0.47
0,7.46,3.31,0.44
0,9.06,3.29,0.36
0,8.78,3.21,0.37
0,9.33,3.38,0.36
0,7.18,3.15,0.44
0,8.25,3.18,0.39
0,7.02,3.25,0.46
0,9.13,3.43,0.38
0,7.99,3.28,0.41
0,8.78,3.11,0.35
0,8.54,3.33,0.39
0,6.51,3.35,0.51
0,6.68,3.2,0.48
0,8.95,3.3,0.37
0,9.35,3.34,0.36
0,6.82,3.21,0.47
0,8.87,3.29,0.37
0,7.55,3.26,0.43
0,7.56,3.24,0.43
0,8.64,3.41,0.39
0,8.92,3.4,0.38
0,9.33,3.36,0.36
0,8.03,3.34,0.42
0,7.61,3.19,0.42
0,9.79,3.3,0.34
0,9.8,3.24,0.33
0,10.42,3.35,0.32
0,9.34,3.3,0.35
0,9.53,3.25,0.34
0,8.95,3.27,0.36
0,8.1,3.26,0.4
0,7.07,3.27,0.46
0,7.29,3.28,0.45
0,9.21,3.37,0.37
0,6.84,3.26,0.48
0,8.39,3.15,0.38
0,7.74,3.16,0.41
0,8.49,3.33,0.39
0,6.53,3.31,0.51
0,7.19,3.2,0.44
0,8.48,3.28,0.39
0,6.98,3.31,0.47
0,7.42,3.24,0.44
0,8.06,3.29,0.41
0,10.14,3.33,0.33
0,9.41,3.18,0.34
0,6.89,3.16,0.46
0,8.23,3.14,0.38
0,6.67,3.33,0.5
0,7.36,3.13,0.43
0,9.9,3.37,0.34
0,8.41,3.31,0.39
0,8.95,3.26,0.36
0,6.53,3.05,0.47
0,10.78,3.26,0.3
0,9.66,3.36,0.35
0,8.35,3.31,0.4
0,6.87,3.14,0.46
0,6.86,3.22,0.47
0,8.54,3.24,0.38
0,8.12,3.1,0.38
0,10.31,3.2,0.31
0,6.71,3.31,0.49
0,9.47,3.44,0.36
0,8.71,3.36,0.39
0,7.9,3.16,0.4
0,9.68,3.51,0.36
0,8.92,3.24,0.36
0,8.02,3.28,0.41
0,8.79,3.36,0.38
0,7.4,3.21,0.43
0,7.36,3.22,0.44
0,7.17,3.18,0.44
0,7.49,3.08,0.41
0,7.71,3.16,0.41
0,7.69,3.16,0.41
0,6.98,3.08,0.44
0,9.47,3.53,0.37
0,7.71,3.28,0.42
0,6.75,3.22,0.48
0,7.3,3.26,0.45
0,8.73,3.33,0.38
0,7.22,3.12,0.43
0,7.05,3.34,0.47
0,8.91,3.2,0.36
0,8.1,3.19,0.39
0,7.16,3.25,0.45
0,7.06,3.23,0.46
0,6.39,3.21,0.5
0,8.94,3.18,0.36
0,6.61,3.1,0.47
0,6.58,3.15,0.48
0,7.05,3.24,0.46
0,8.0,3.34,0.42
0,8.45,3.32,0.39
0,7.8,3.15,0.4
0,9.17,3.38,0.37
0,9.24,3.11,0.34
0,7.55,3.34,0.44
0,7.33,3.16,0.43
0,8.59,3.19,0.37
0,7.94,3.23,0.41
0,10.2,3.5,0.34
0,7.48,3.21,0.43
0,8.63,3.31,0.38
0,8.66,3.35,0.39
0,7.72,3.17,0.41
0,6.52,3.35,0.51
0,7.98,3.14,0.39
0,10.62,3.45,0.33
0,7.47,3.22,0.43
0,7.51,3.18,0.42
0,8.17,3.28,0.4
0,7.84,3.17,0.4
0,8.98,3.26,0.36
0,8.65,3.34,0.39
0,9.18,3.38,0.37
0,8.98,3.26,0.36
0,7.37,3.14,0.43
0,7.95,3.37,0.42
0,7.66,3.36,0.44
0,8.8,3.42,0.39
0,9.27,3.36,0.36
0,7.05,3.24,0.46
0,7.66,3.32,0.43
0,9.13,3.32,0.36
0,7.24,3.25,0.45
0,7.58,3.23,0.43
0,7.4,3.29,0.44
0,8.68,3.38,0.39
0,8.17,3.28,0.4
0,10.45,3.46,0.33
0,9.59,3.35,0.35
0,8.27,3.15,0.38
0,10.42,3.38,0.32
0,7.76,3.22,0.42
0,7.35,3.1,0.42
0,8.42,3.27,0.39
0,9.43,3.33,0.35
0,9.63,3.27,0.34
0,8.46,3.28,0.39
0,6.72,3.14,0.47
0,7.06,3.28,0.46
0,8.82,3.25,0.37
0,10.22,3.45,0.34
0,9.39,3.38,0.36
0,9.5,3.36,0.35
0,9.87,3.35,0.34
0,7.17,3.39,0.47
0,7.64,3.38,0.44
0,10.35,3.44,0.33
0,8.22,3.22,0.39
0,6.55,3.27,0.5
0,7.01,3.24,0.46
0,10.16,3.38,0.33
0,6.37,3.25,0.51
0,7.15,3.2,0.45
0,9.85,3.25,0.33
0,7.32,3.28,0.45
0,8.47,3.44,0.41
0,8.67,3.31,0.38
0,9.26,3.34,0.36
0,8.59,3.18,0.37
0,7.76,3.24,0.42
0,7.8,3.34,0.43
0,6.88,3.34,0.48
0,7.52,3.09,0.41
0,7.35,3.22,0.44
0,10.39,3.27,0.31
0,6.86,3.15,0.46
0,7.23,3.16,0.44
0,8.1,3.27,0.4
0,9.1,3.3,0.36
0,8.57,3.36,0.39
0,7.17,3.16,0.44
0,7.73,3.17,0.41
0,8.57,3.16,0.37
0,8.11,3.06,0.38
0,7.97,3.24,0.41
0,8.26,3.26,0.39
0,7.7,3.34,0.43
0,8.4,3.27,0.39
0,7.57,3.16,0.42
0,7.0,3.21,0.46
0,6.6,3.17,0.48
0,8.92,3.24,0.36
0,9.65,3.21,0.33
0,7.98,3.22,0.4
0,6.54,3.43,0.52
0,8.34,3.12,0.37
0,6.43,3.21,0.5
0,10.19,3.32,0.33
0,7.53,3.34,0.44
0,7.44,3.11,0.42
0,9.12,3.42,0.38
0,8.24,3.37,0.41
0,8.83,3.27,0.37
0,7.94,3.18,0.4
0,9.66,3.51,0.36
0,8.11,3.1,0.38
0,7.28,3.13,0.43
0,7.29,3.36,0.46
0,6.67,3.27,0.49
0,9.5,3.42,0.36
0,10.04,3.41,0.34
0,9.31,3.39,0.36
0,8.89,3.21,0.36
0,7.92,3.38,0.43
0,10.04,3.51,0.35
0,7.21,3.26,0.45
0,8.47,3.34,0.39
0,7.03,3.34,0.48
0,7.76,3.29,0.42
0,7.47,3.34,0.45
0,8.19,3.21,0.39
0,8.64,3.29,0.38
0,7.56,3.31,0.44
0,9.64,3.41,0.35
0,11.01,3.47,0.31
0,10.37,3.45,0.33
0,8.81,3.19,0.36
0,9.2,3.12,0.34
0,6.98,3.43,0.49
0,8.89,3.36,0.38
0,6.76,3.16,0.47
0,9.82,3.17,0.32
0,8.47,3.25,0.38
0,9.35,3.44,0.37
0,7.97,3.28,0.41
0,7.71,3.34,0.43
0,6.74,3.23,0.48
0,9.78,3.29,0.34
0,7.33,3.39,0.46
0,7.55,3.06,0.41
0,9.45,3.34,0.35
0,7.19,3.15,0.44
0,6.81,3.27,0.48
0,7.66,3.24,0.42
0,8.42,3.18,0.38
0,10.52,3.46,0.33
0,7.9,3.21,0.41
0,7.28,3.08,0.42
0,8.98,3.25,0.36
0,7.12,3.25,0.46
0,7.52,3.29,0.44
0,8.47,3.32,0.39
0,10.15,3.33,0.33
0,6.72,3.19,0.48
0,6.65,3.26,0.49
0,8.57,3.58,0.42
0,7.04,3.09,0.44
0,7.57,3.26,0.43
0,6.85,3.22,0.47
0,9.18,3.14,0.34
0,7.7,3.38,0.44
0,9.95,3.29,0.33
0,8.47,3.32,0.39
0,7.06,3.12,0.44
0,6.96,3.25,0.47
0,7.97,3.28,0.41
0,8.74,3.35,0.38
0,6.89,3.27,0.48
0,6.9,3.18,0.46
0,8.5,3.4,0.4
0,10.02,3.21,0.32
0,9.03,3.17,0.35
0,6.91,3.17,0.46
0,7.28,3.08,0.42
0,8.35,3.27,0.39
0,8.18,3.25,0.4
0,6.98,3.22,0.46
0,6.39,3.37,0.53
0,7.34,3.22,0.44
0,8.42,3.15,0.37
0,7.09,3.18,0.45
0,9.65,3.24,0.34
0,7.37,3.19,0.43
0,9.12,3.08,0.34
1,23.27,2.43,0.1
1,24.15,2.34,0.1
1,25.16,2.87,0.11
1,24.21,2.61,0.11
1,25.0,3.06,0.12
1,22.97,2.55,0.11
1,24.17,2.3,0.1
1,23.81,2.8,0.12
1,24.68,2.42,0.1
1,24.24,2.46,0.1
1,23.78,2.48,0.1
1,23.15,2.76,0.12
1,23.9,3.01,0.13
1,24.96,2.56,0.1
1,25.45,3.23,0.13
1,24.88,2.7,0.11
1,24.44,2.75,0.11
1,23.75,3.0,0.13
1,24.09,3.11,0.13
1,23.62,2.54,0.11
1,25.08,2.53,0.1
1,24.54,2.66,0.11
1,24.21,2.86,0.12
1,23.62,3.17,0.13
1,24.94,2.89,0.12
1,25.46,2.93,0.12
1,25.19,3.23,0.13
1,23.5,2.77,0.12
1,25.08,2.93,0.12
1,23.19,2.88,0.12
1,24.19,2.72,0.11
1,23.93,2.72,0.11
1,24.85,2.34,0.09
1,24.21,2.34,0.1
1,24.67,3.29,0.13
1,25.43,2.24,0.09
1,25.05,2.84,0.11
1,24.89,2.86,0.12
1,25.43,3.13,0.12
1,24.31,2.69,0.11
1,24.78,2.63,0.11
1,24.81,2.78,0.11
1,24.37,2.6,0.11
1,23.5,2.79,0.12
1,23.97,3.03,0.13
1,24.6,3.05,0.12
1,24.59,2.67,0.11
1,25.3,2.8,0.11
1,23.66,3.02,0.13
1,23.64,2.55,0.11
1,24.52,2.77,0.11
1,23.66,2.62,0.11
1,24.64,2.76,0.11
1,24.0,2.69,0.11
1,23.68,2.63,0.11
1,23.52,2.41,0.1
1,24.6,2.66,0.11
1,24.63,3.08,0.12
1,23.83,2.93,0.12
1,23.56,3.15,0.13
1,24.23,2.72,0.11
1,23.71,2.96,0.12
1,24.25,2.74,0.11
1,25.0,2.76,0.11
1,25.08,2.67,0.11
1,25.19,2.9,0.12
1,24.75,2.67,0.11
1,23.7,2.93,0.12
1,23.14,2.43,0.1
1,24.33,2.85,0.12
1,24.37,2.51,0.1
1,25.36,2.82,0.11
1,24.44,2.72,0.11
1,25.15,2.66,0.11
1,24.74,2.09,0.08
1,24.59,2.49,0.1
1,23.49,2.33,0.1
1,23.33,3.15,0.13
1,23.98,3.16,0.13
1,24.98,2.86,0.11
1,23.42,2.44,0.1
1,23.46,2.87,0.12
1,24.89,2.77,0.11
1,25.16,3.0,0.12
1,24.75,2.93,0.12
1,24.74,2.84,0.11
1,24.54,3.43,0.14
1,24.56,2.67,0.11
1,24.66,2.91,0.12
1,24.36,2.85,0.12
1,24.36,2.88,0.12
1,24.41,2.62,0.11
1,24.97,2.63,0.11
1,23.3,2.46,0.11
1,25.28,3.02,0.12
1,23.87,2.72,0.11
1,23.65,2.74,0.12
1,25.64,2.83,0.11
1,24.98,2.52,0.1
1,22.69,2.76,0.12
1,23.51,2.88,0.12
1,24.1,2.71,0.11
1,23.51,2.3,0.1
1,23.46,2.64,0.11
1,24.11,2.94,0.12
1,25.47,2.94,0.12
1,25.44,2.48,0.1
1,24.46,2.83,0.12
1,23.78,2.71,0.11
1,24.5,2.67,0.11
1,23.74,2.75,0.12
1,24.62,3.15,0.13
1,23.05,2.86,0.12
1,24.21,2.95,0.12
1,24.2,2.57,0.11
1,24.97,2.53,0.1
1,23.83,3.03,0.13
1,25.1,2.86,0.11
1,24.56,2.49,0.1
1,24.0,3.07,0.13
1,25.32,2.92,0.12
1,25.48,2.52,0.1
1,23.58,2.58,0.11
1,24.68,2.58,0.1
1,25.05,3.14,0.13
1,24.09,2.82,0.12
1,25.47,2.76,0.11
1,24.55,2.35,0.1
1,25.46,3.36,0.13
1,24.75,2.32,0.09
1,24.74,2.93,0.12
1,23.92,2.97,0.12
1,24.17,2.76,0.11
1,23.47,2.93,0.13
1,24.37,2.74,0.11
1,23.93,2.86,0.12
1,25.68,2.79,0.11
1,24.86,2.85,0.11
1,24.58,2.67,0.11
1,25.59,2.95,0.12
1,24.52,3.18,0.13
1,24.24,2.64,0.11
1,24.63,3.1,0.13
1,24.87,2.74,0.11
1,24.09,2.85,0.12
1,24.16,2.63,0.11
1,24.54,2.77,0.11
1,25.14,2.6,0.1
1,24.72,3.17,0.13
1,23.91,2.56,0.11
1,24.28,2.98,0.12
1,24.29,2.59,0.11
1,24.53,2.65,0.11
1,24.7,2.97,0.12
1,24.86,2.46,0.1
1,24.3,3.16,0.13
1,23.85,2.94,0.12
1,24.71,2.89,0.12
1,24.34,2.77,0.11
1,24.54,2.36,0.1
1,23.9,2.57,0.11
1,24.64,2.98,0.12
1,23.98,3.3,0.14
1,24.0,3.17,0.13
1,24.15,3.12,0.13
1,24.21,2.49,0.1
1,25.17,2.6,0.1
1,24.58,2.51,0.1
1,24.96,2.48,0.1
1,24.22,2.51,0.1
1,25.15,2.82,0.11
1,24.1,2.62,0.11
1,24.23,2.86,0.12
1,24.47,2.9,0.12
1,24.99,2.81,0.11
1,24.1,2.69,0.11
1,23.94,3.02,0.13
1,24.04,3.03,0.13
1,24.82,2.97,0.12
1,25.04,2.68,0.11
1,24.55,2.92,0.12
1,24.62,2.68,0.11
1,24.55,2.77,0.11
1,24.63,2.38,0.1
1,25.62,2.6,0.1
1,24.98,2.72,0.11
1,23.14,2.55,0.11
1,24.1,2.43,0.1
1,24.8,2.46,0.1
1,24.24,2.89,0.12
1,23.79,2.77,0.12
1,24.29,2.4,0.1
1,25.01,2.6,0.1
1,24.5,2.97,0.12
1,25.24,3.15,0.12
1,24.69,2.27,0.09
1,24.38,2.71,0.11
1,23.83,3.02,0.13
1,23.52,3.21,0.14
1,24.81,2.58,0.1
1,23.85,2.49,0.1
1,25.04,2.71,0.11
1,23.41,2.98,0.13
1,24.9,2.68,0.11
1,23.48,2.74,0.12
1,24.69,2.82,0.11
1,24.42,2.6,0.11
1,25.49,2.69,0.11
1,24.03,2.69,0.11
1,25.02,2.64,0.11
1,25.4,2.94,0.12
1,24.43,2.88,0.12
1,24.58,2.23,0.09
1,23.34,2.69,0.12
1,24.97,2.61,0.1
1,23.57,3.2,0.14
1,24.1,2.61,0.11
1,22.98,3.27,0.14
1,24.51,2.74,0.11
1,24.16,2.73,0.11
1,24.71,3.02,0.12
1,25.42,2.88,0.11
1,24.14,2.51,0.1
1,25.76,3.02,0.12
1,23.8,2.5,0.11
1,24.14,2.85,0.12
1,24.59,3.07,0.12
1,25.06,2.9,0.12
1,24.99,2.67,0.11
1,23.92,2.87,0.12
1,24.76,2.86,0.12
1,23.3,2.64,0.11
1,23.97,2.65,0.11
1,24.17,3.01,0.12
1,23.18,2.92,0.13
1,25.02,3.04,0.12
1,24.65,2.82,0.11
1,24.3,2.99,0.12
1,23.99,2.54,0.11
1,24.41,2.96,0.12
1,25.25,2.9,0.11
1,24.76,3.01,0.12
1,24.05,2.3,0.1
1,24.6,2.52,0.1
1,25.53,2.15,0.08
1,23.58,3.0,0.13
1,23.31,3.17,0.14
1,23.15,3.23,0.14
1,24.03,2.94,0.12
1,24.02,2.38,0.1
1,24.39,3.09,0.13
1,23.57,2.84,0.12
1,24.68,2.5,0.1
1,23.6,2.6,0.11
1,23.64,2.74,0.12
1,22.73,2.71,0.12
1,23.72,2.62,0.11
1,25.4,2.46,0.1
1,24.45,3.07,0.13
1,24.08,2.87,0.12
1,24.43,2.62,0.11
1,24.66,2.88,0.12
1,24.65,2.62,0.11
1,24.1,2.69,0.11
1,25.58,2.57,0.1
1,24.12,2.47,0.1
1,25.28,2.78,0.11
1,24.04,2.73,0.11
1,24.06,3.07,0.13
1,23.22,2.45,0.11
1,23.69,2.27,0.1
1,24.71,2.54,0.1
1,22.62,2.37,0.1
1,25.32,2.85,0.11
1,24.33,2.67,0.11
1,24.88,2.91,0.12
1,24.09,2.2,0.09
1,24.58,2.58,0.11
1,23.45,2.94,0.13
1,22.86,2.73,0.12
1,24.63,2.7,0.11
1,23.35,2.33,0.1
1,25.58,3.12,0.12
1,23.84,2.99,0.13
1,24.66,2.54,0.1
1,24.75,2.57,0.1
1,24.08,2.6,0.11
1,24.62,2.52,0.1
1,24.95,2.8,0.11
1,23.73,2.3,0.1
1,25.11,2.47,0.1
1,24.76,2.75,0.11
1,24.78,2.51,0.1
1,25.25,2.72,0.11
1,23.62,2.72,0.12
1,24.69,2.42,0.1
1,23.94,2.82,0.12
1,24.85,3.55,0.14
1,23.77,2.71,0.11
1,24.13,2.75,0.11
1,23.95,2.41,0.1
1,24.36,3.15,0.13
1,24.19,2.52,0.1
1,25.02,3.0,0.12
1,24.53,2.44,0.1
1,25.36,3.04,0.12
1,25.4,2.94,0.12
1,24.2,2.65,0.11
1,23.33,3.0,0.13
1,24.05,2.64,0.11
1,23.86,2.5,0.1
1,25.43,2.99,0.12
1,23.6,2.42,0.1
1,24.73,2.95,0.12
1,23.96,2.52,0.11
1,24.28,2.48,0.1
1,24.64,2.66,0.11
1,24.24,2.19,0.09
1,23.3,2.74,0.12
1,24.85,2.81,0.11
1,25.4,2.69,0.11
1,24.25,2.61,0.11
1,24.75,3.0,0.12
1,25.57,2.29,0.09
1,23.94,2.92,0.12
1,24.73,2.9,0.12
1,23.85,2.76,0.12
1,24.04,2.47,0.1
1,24.55,2.78,0.11
1,22.79,3.13,0.14
1,22.86,2.65,0.12
1,24.24,2.45,0.1
1,24.12,2.83,0.12
1,24.67,2.87,0.12
1,24.82,2.92,0.12
1,23.92,2.47,0.1
1,23.81,2.92,0.12
1,24.22,2.97,0.12
1,23.94,2.66,0.11
1,24.34,2.85,0.12
1,24.41,2.88,0.12
1,23.86,2.86,0.12
1,24.46,2.67,0.11
1,24.13,2.83,0.12
1,22.97,3.23,0.14
1,24.04,2.47,0.1
1,24.62,2.33,0.09
1,25.16,3.04,0.12
1,24.33,2.37,0.1
1,23.05,2.52,0.11
1,24.83,2.89,0.12
1,23.89,2.6,0.11
1,25.0,2.05,0.08
1,23.67,2.42,0.1
